In Cart,Recommendation,Support,Confidence,Lift
208.31,appliances.environment.vacuum,0.125,1.0,8.0
208.31,appliances.kitchen.dishwasher,0.125,1.0,8.0
208.31,appliances.kitchen.hood,0.125,1.0,8.0
208.31,appliances.kitchen.oven,0.125,1.0,8.0
208.31,computers.peripherals.printer,0.125,1.0,8.0
apparel.shirt,apparel.trousers,0.125,1.0,8.0
apparel.shirt,appliances.kitchen.kettle,0.125,1.0,8.0
apparel.shirt,appliances.kitchen.microwave,0.125,1.0,4.0
apparel.shirt,computers.components.hdd,0.125,1.0,8.0
apparel.shirt,sport.bicycle,0.125,1.0,8.0
apparel.trousers,appliances.kitchen.kettle,0.125,1.0,8.0
apparel.trousers,appliances.kitchen.microwave,0.125,1.0,4.0
apparel.trousers,computers.components.hdd,0.125,1.0,8.0
apparel.trousers,sport.bicycle,0.125,1.0,8.0
appliances.environment.vacuum,appliances.kitchen.dishwasher,0.125,1.0,8.0
appliances.environment.vacuum,appliances.kitchen.hood,0.125,1.0,8.0
appliances.environment.vacuum,appliances.kitchen.oven,0.125,1.0,8.0
appliances.environment.vacuum,computers.peripherals.printer,0.125,1.0,8.0
appliances.environment.water_heater,appliances.kitchen.grill,0.125,1.0,4.0
appliances.environment.water_heater,appliances.kitchen.microwave,0.125,1.0,4.0
appliances.environment.water_heater,appliances.kitchen.washer,0.125,1.0,8.0
appliances.environment.water_heater,computers.network.router,0.125,1.0,8.0
appliances.environment.water_heater,country_yard.weather_station,0.125,1.0,8.0
appliances.kitchen.coffee_grinder,appliances.kitchen.toster,0.125,1.0,8.0
appliances.kitchen.coffee_grinder,appliances.personal.massager,0.125,1.0,8.0
appliances.kitchen.coffee_grinder,electronics.tablet,0.125,1.0,4.0
appliances.kitchen.dishwasher,appliances.kitchen.hood,0.125,1.0,8.0
appliances.kitchen.dishwasher,appliances.kitchen.oven,0.125,1.0,8.0
appliances.kitchen.dishwasher,computers.peripherals.printer,0.125,1.0,8.0
appliances.kitchen.grill,appliances.kitchen.washer,0.125,0.5,4.0
appliances.kitchen.grill,computers.network.router,0.125,0.5,4.0
appliances.kitchen.grill,computers.peripherals.keyboard,0.125,0.5,4.0
appliances.kitchen.grill,computers.peripherals.scanner,0.125,0.5,4.0
appliances.kitchen.grill,country_yard.weather_station,0.125,0.5,4.0
appliances.kitchen.hood,appliances.kitchen.oven,0.125,1.0,8.0
appliances.kitchen.hood,computers.peripherals.printer,0.125,1.0,8.0
appliances.kitchen.kettle,appliances.kitchen.microwave,0.125,1.0,4.0
appliances.kitchen.kettle,computers.components.hdd,0.125,1.0,8.0
appliances.kitchen.kettle,sport.bicycle,0.125,1.0,8.0
appliances.kitchen.microwave,appliances.kitchen.washer,0.125,0.5,4.0
appliances.kitchen.microwave,computers.components.hdd,0.125,0.5,4.0
appliances.kitchen.microwave,computers.network.router,0.125,0.5,4.0
appliances.kitchen.microwave,country_yard.weather_station,0.125,0.5,4.0
appliances.kitchen.microwave,sport.bicycle,0.125,0.5,4.0
appliances.kitchen.oven,computers.peripherals.printer,0.125,1.0,8.0
appliances.kitchen.toster,appliances.personal.massager,0.125,1.0,8.0
